Code,Residential,Description,Comment on Change/s
583,Aquaculture Breeding/Research Facilities/ Fish Hatchery,Land upon which special purpose aquaculture breeding and/or research facilities are constructed. Includes the breeding and growing of fish for commercial purposes. ,
,,,
Code,Infrastructure and utilities (industrial),Description,Comment
60,Vacant,,
600,Vacant Land,Vacant land reserved or capable of being developed for infrastructure purposes. ,
601,"Unspecified – Transport, Storage, Utilities and Communication","Vacant land reserved or capable of being developed for transportation, storage, utilities and communication uses.",
61,Gas or Fuel,,Changed from Gas to Gas or Fuels
610, Wells,Land developed with specialist infrastructure used as a gas or fuel well. ,Changed from Gas Wells to  Wells
611,Production/Refinery,Land developed with specialist infrastructure used for the production/refinery of gas or fuel. ,Changed from Gas Production/Refinery to Production/Refinery
612,Storage ,Land developed with specialist infrastructure used for the storage of gas or fuel.,Changed from Gas Storage to Storage 
613,"Transmission Pipeline (through easements, freehold and public land) ",Land developed with specialist infrastructure used for the transmission of gas or fuel including pipelines and pressure control facilities. ,"Changed from Gas Transmission Pipeline (through easements, freehold and public land) to Transmission Pipeline (through easements, freehold and public land) "
614,"Distribution/Reticulation Pipelines (through easements, freehold and public land)",Land developed with specialist infrastructure used for the reticulation of gas or fuel for domestic/commercial purposes. ,"Changed from Gas Distribution/Reticulation Pipelines (through easements, freehold and public land) to Distribution/Reticulation Pipelines (through easements, freehold and public land)"
62,Electricity,,
620,"Electricity Power Generators – Fuel Powered (includes brown coal, black coal, natural steam, gas, oil and nuclear)",Land developed with specialist infrastructure used in the generation of fossil fuelled electricity. ,
621,Hydroelectricity Generation,Land developed with specialist infrastructure used in the generation of hydroelectricity.,
622,Wind Farm Electricity Generation,Land developed with specialist infrastructure used in the generation of wind powered electricity.,
623,Electricity Substation/Terminal,Land developed with specialist infrastructure associated with the reticulation of electricity.,
624,"Electricity Transmission Lines (through easements, freehold and public land)",Land developed with transmission lines used for electricity transmission.,
625,"Electricity Distribution/Reticulation Lines (through easements, freehold and public land)",Land developed with specialist infrastructure with a transmission line used for domestic/commercial reticulation.,
626,Solar Electricity Generation,Land developed with specialist infrastructure used in the generation of solar electricity.,New AVPCC
63,"Waste Disposal, Treatment and Recycling",,
630,Refuse Incinerator,Land developed with specialist infrastructure used for the incineration of refuse. ,
631,Refuse Transfer Station,Land developed with specialist infrastructure used in the storage and transfer of refuse.,
632,Sanitary Land Fill,"Land permitted to be used for the disposal of household, commercial, industrial and public waste. ",
633,Refuse Recycling,Land developed with specialist infrastructure used in the recycling of refuse. ,
634,Hazardous Materials/Toxic Storage Centre,Land permitted to be used for the storage of hazardous materials and toxic waste.,
635,Toxic By-product Storage and Decontamination Site,Land permitted to be used for the storage of mining waste.,
636,Sewerage/Stormwater Treatment Plant Site,Land developed with specialist infrastructure used in the treatment of sewerage and stormwater.,
637,Sewerage/Stormwater Pump Stations,Land developed with specialist infrastructure used in the pumping of sewerage and stormwater.,
638,"Sewerage/Stormwater Pipelines (through easements, freehold and public land)",Land developed with pipelines or channels used for domestic sewerage or stormwater reticulation.,
638.1,Unspecified,,
638.2,Public Utility – Drainage,,
638.3,Public Utility – Sewerage,,
638.4,Reserve for Drainage or Sewerage Purposes,,Changed from Reserve for Drainage Purposes to Reserve for Drainage or sewerage Purposes
638.5,Retarding Basin,,New AVPCC
64,Water Supply ,,
640,Water Catchment Area,Land used for the purpose of water catchment within a designated water catchment area. ,
641,Water Catchment Dam/Reservoir,"Land developed with specialist infrastructure and used as a dam, weir, storage basin or reservoir for water catchment.",
642,Water Storage Dam/Reservoir (Non-Catchment),"Land developed with specialist infrastructure and used as a dam, weir, storage basin or reservoir for water storage. ",
643,Water Treatment Plant,"Land developed with specialist infrastructure used for the treatment of water, e.g. desalination plant. ",
644,"Water Storage Tanks, Pressure Control Towers and Pumping Stations.","Land developed with water storage tanks, pressure control towers and pumping stations used for water supply.",
645,Major Water Conduits,"Land developed with canals, flumes, pipes to carry water to power stations, treatment plants and irrigation supply channels used for the supply of water. ",
646,"Water – Urban Distribution Network (through easements, freehold and public land)",Land developed with infrastructure for the domestic reticulation of water. ,
65,Transport – Road Systems ,,
650,Freeways,Land that forms part of a freeway. ,
651,Main Highways (including national routes),Land that forms part of a main highway. ,
652,Secondary Roads,Land that forms part of a secondary road. ,
653,Suburban and Rural Roads,Land that forms part of a suburban or rural road. ,
654,Closed Roads,Land that forms part of a road that is now closed. ,
655,Reserved Roads,Land reserved for future roads. ,Changed from Reserved Roads/Unused Roads to Reserved Roads
656,Bus Maintenance Depot,Land developed for the parking and maintenance of passenger buses. ,
657,Bus Interchange Centre/Bus Terminal,Land developed as a bus interchange centre/bus terminal. ,
658,Designated Bus/Taxi Stops/Stands/Shelters,"Land developed as a bus/taxi stop. Includes designated areas, stands and shelters. ",
659,Weighbridge,Land developed with a weighbridge.,
66,Transport – Rail and Tramway Systems,,
660,Railway Line in use,Land developed and used as an operating railway line and associated infrastructure.,Changed from Railway Line Land and Improvements in use to Railway Line in use
661,Railway Switching and Marshalling Yards,Land developed and used as a railway switching and marshalling yard. ,
662,Railway Maintenance Facility,Land developed and used for railway maintenance. ,
663,Railway Passenger Terminal Facilities (including stations),Land developed and used as a railway passenger terminal. ,Changed from Railway Passenger Terminal Facilities (including stations etc.) to Railway Passenger Terminal Facilities (including stations)
664,Railway Freight Terminal Facilities,Land developed and used as a railway freight terminal. ,
665,Tramway/Light Rail Right of Way and Associated Track Infrastructure,Land developed and used as an operating tram or light rail service and associated infrastructure.,Changed from Tramway/Light Rail Right of Way and Associated Track Improvements to Tramway/Light Rail Right of Way and Associated Track Infrastructure
666,Tramway Maintenance /Terminal Storage,Land developed and used for tramway maintenance and terminal facilities. ,
667,Tram Stopping Facilities,Land developed and used for a tram stop. Includes shelters and platforms. ,
668,Railway/Tramway Line Closed/Unused,Land developed and no longer used for tramways or other related facilities.,
67,Transport – Air,,
670,Airfield (includes associated open space),Land developed with specialist infrastructure used as an airport capable of handling domestic and/or international services. ,
671,Airstrip,Land developed with limited infrastructure and used as a local/regional airstrip.,
672,Airport Traffic Control Centre,Land developed with specialist infrastructure used and operated as an air traffic control centre. ,
673,Airport Hangar Building,Land developed with specialist infrastructure used for aircraft maintenance and storage. ,
674,Airport Terminal Building – Passengers,Land developed with specialist infrastructure used in conjunction with airline operations to manage passenger services. ,
675,Airport Terminal Building – Freight,Land developed with specialist infrastructure used for freight handling services within an airport. ,
676,Heliport,Land developed and used for helicopter landing and parking.,
68,Transport – Marine,,
680,Port Channel,Designated channel used as a shipping waterway. ,
681,Port Dock/Berth,Seabed adjoining a wharf and developed with infrastructure used for the berthing of ships.,
682,Port Wharf/Pier and Apron – Cargo,Land developed with specialist infrastructure to facilitate the movement of containers and cargo to and from ships. ,
683,Wharf – Storage Sheds,Land developed with enclosed storage facilities within a wharf. ,
684,Wharf – Passenger Terminal and Ferry Pier Facilities,Land developed with passenger terminals and other facilities within a wharf or pier. ,
685,"Piers, Storages and Slipways",Land developed and used for the maintenance and launching of boats. ,
686, Ramps and Jetties,Land developed with limited infrastructure used for recreational boating purposes.,"Changed from Boat Sheds, Bathing Boxes, Ramps and Jetties to  Ramps and Jetties"
687,Marinas and Yacht Clubs,Land developed with specialist infrastructure used for the wet and dry storage of leisure boats. ,
688,"Dockyard, Dry Dock and/or Ship Building Facility","Land developed with specialist infrastructure used for the repair, maintenance, and construction of ships. ",
689,Lighthouse and Navigation Aids,Land developed with specialist infrastructure used to assist in sea navigation. ,
69,"Communications, including Print, Post, Telecommunications and Airwave Facilities",,
690,Post Offices,Land used for the collection/ distribution of mail and the sale of products associated with that use. ,
691,Postal Exchange/Mail Sorting Centres,Land developed and used for the sorting of mail.,
692,Post Boxes,Land developed with a single receptacle for the posting of mail. ,
693,Telecommunication Buildings/Maintenance Depots,Land developed and used for the maintenance of telecommunication installations.,
694,Telecommunication Towers and Aerials,Land developed with specialist infrastructure used for the transmission of telecommunication signals. Maybe be stand alone or affixed to buildings.,
694.1,Unspecified,,
694.2,Telecommunication Tower,,
694.3,Telecommunication Aerial,,
695,"Cable Lines, Conduits and Special Purpose Below Street Level Communication Line Tunnels – not being sewers (through easements, freehold and public land)","Land developed with cable lines, conduits and special purpose, below street level and communication line tunnels used for telecommunication purposes.",
696,Television/Radio Station – Purpose Built,Land developed with specialist infrastructure used for the production/ recording of television and radio programs.,
697,Printing Works/Press ,"Land developed with specialist infrastructure and used for printing works, e.g. newspaper print, magazines.",
698,Telephone Exchange – Purpose Built,Land developed with specialist infrastructure used to facilitate the transmission of telephonics.,
,,,
Code,Community services,Description,Comment
70,Vacant or Disused Community Services Site,,
700,Vacant Health Services Development Site,"Vacant land with a permit approved or capable of being developed for health purposes, e.g. hospital site. ",
701,Vacant Education and Research Development Site,"Vacant land with a permit approved or capable of being developed for education purposes, e.g. school/university site. ",
702,Vacant Justice and Community Protection Development Site,"Vacant land with a permit approved or capable of being developed for justice and community protection purposes, e.g. police station, court house. ",
703,Vacant Religious Purposes Development Site,"Vacant land with a permit approved or capable of being developed for religious purposes, e.g. church, temple, synagogue site. ",
704,Vacant Community Services Development Site,"Vacant land with a permit approved or capable of being developed for community services, e.g. clubrooms. ",
705,Vacant Government Administration Development Site,"Vacant land with a permit approved or capable of being developed for government administration purposes, e.g. civic purposes. ",
706,Vacant Defence Services Development Site,"Vacant land with a permit approved or capable of being developed for defence purposes, e.g. barracks. ",
707,Cemetery,Land permitted to be used as a cemetery. ,
71,Health,,
710,Public Hospital,Land developed and used as a hospital funded by the government for public patients.,
711,Private Hospital,Land developed and used as a non-government funded hospital for private patients. ,
712,Welfare Centre,Land developed and used for the purposes of providing welfare services to the community. ,Changed from Infant Welfare Centre to Welfare Centre
713,Community Health Centre,"Land developed and used as consulting facilities, for a range of public health issues to the wider community. ",
714,Centre for the Mentally ill,Land developed with specialist facilities and used for the treatment of the mentally ill. Includes rehabilitation clinics.,
715,Day Care Centre for Children,Land developed and permitted to be used as a day care centre of children by a licensed operator. ,
72,Education and Research,,
720,Early Childhood Development Centre – Kindergarten,Land developed and permitted to be used as a funded early education centre for children 3-5 year olds. ,
720.1,Unspecified,,
720.2,Early Childhood Development Centre,,
720.3,Kindergarten,,
720.4,Pre-School,,
720.5,Child Welfare and Pre-School,,
721,Government School,Land developed and used in the education of students in a government school operated by the state.,Changed from School Primary – Public/Private to Government School
721.1,Unspecified,,New AVPCC - subclassification
721.2,Primary School,Land developed and used in the education of students in years p-6/7.,New AVPCC - subclassification
721.3,Secondary School/College,Land developed and used in the education of students in years 7/8-12. Includes trade and technical schools. ,New AVPCC - subclassification
721.4,Combined Primary/Secondary,Land developed and used in the education of students in years p-12. ,New AVPCC - subclassification
721.5,Technical School,Land developed and used in the education of students in years 7/8-12 for trade and technical purposes. ,New AVPCC - subclassification
721.6,Playing Fields and Sporting Facilities,,New AVPCC - subclassification
722,School Camps,Land developed and used as a camp exclusively for the education of students by a registered education provider.,New AVPCC
723,Non-Government School,Land developed and used in the education of students in a non-government school operated by a registered education provider.,Changed from School/College Secondary/Technical School  Public/Private to Non Government School
723.1,Unspecified,,New AVPCC - subclassification
723.2,Primary School,Land developed and used in the education of students in years p-6/7.,New AVPCC - subclassification
723.3,Secondary School/College,Land developed and used in the education of students in years 7/8-12. ,New AVPCC - subclassification
723.4,Combined Primary/Secondary,Land developed and used in the education of students in years p-12. ,New AVPCC - subclassification
723.5,Technical School,Land developed and used in the education of students in years 7/8-12 for trade and technical purposes. ,New AVPCC - subclassification
723.6,Playing Fields and Sporting Facilities,,New AVPCC - subclassification
724,Special Needs School,Land developed and used in the education of pupils with special needs by a registered education provider. ,
725,University ,"Land developed and used in undergraduate and post graduate studies at degree, masters and PhD levels by a registered university. ",Changed from University - Public/Private to University
726,Technical and Further Education,Land developed and used for post-secondary school education and training by a registered education provider. Usually aimed at developing specific job core competencies. ,
727,Research Institute – Public,Land developed and used as a research facility by the government. ,
728,Observatory,Land developed with purpose-built infrastructure associated with astronomy and of national scientific importance. ,
729,Residential College/Quarters - Defence forces,Residential accommodation/quarters for the defence forces. ,
73,Justice and Community Protection,,
730,Police Facility,"Land developed and used as a policing facility, at district/regional/state level. ",
731,Court Facility,Land developed and used as a judicial facility for either a Court or tribunal. ,
732,Prison/Detention Centre/Gaol Complex/ Corrective Institution,Land developed and used for custodial purposes. ,
733,Fire Station Facility,Land developed and used for the storage of vehicles and equipment for the fighting of fires. ,
734,Ambulance Station Facility,Land developed and used as an ambulance station. ,
735,Emergency Services Complex,Land developed and used for state emergency services facilities. ,
736,Community Protection and Services Training Facility,"Land developed and used as a specialist facility for the training of fire, police, ambulance, SES and prison personnel. ",
74,Religious,,
740,Place of Worship,Land developed and used as a place of worship. ,"Changed from Church, Temple, Synagogue, etc. to Place of Worship"
741,Religious Hall,Land developed and used for the social interaction of people by a religious organisation. ,
742,Religious Residence ,"Land developed and used as a dwelling by an ordained member/members of a religious order, as part of administering their religious duties.","Changed from Rectory, Manse, Presbytery to Religious Residence "
743,Religious Study Centre,Land developed and used as a religious study centre.,
75,Community Service and Sporting Clubrooms and Halls,,
750,Halls and Service Clubrooms,Land developed and used as an occasional meeting place by community based groups or clubs. ,
751,Rural and Community Camps,Land developed with accommodation used by persons or groups for short term recreation/training/education purposes by a community service provider e.g. scout camp.,
752,Community Facility,"Land developed and used as a meeting place by groups involved in community interests, e.g. neighbour centre.",Changed from Community/Neighbourhood Facility to Community Facility
76,Government Administration,,
760,Parliament House,Land developed and used by government as a house of parliament.,
761,Government House,Land developed and used as a residence by a governor of a state or the Commonwealth. ,
762,Local Government,Land developed and used for the administration of local government.,
763,Civic Buildings,Land developed and used by local government for civic purposes. ,
77,Defence Services/Military Base,,
770,Army Barracks/Administration Base,Land developed and used for the administration of the armed forces.,
771,Army Maintenance Depots,Land developed and used by the army for the storage and maintenance of equipment and infrastructure. ,
772,Army Field Camps and Firing Ranges,Land developed and used by the army as field camps and for firearms training/practice. ,
773,Naval Base/Administration Base,Land developed and used for the administration of the naval forces.,
774,Naval Specialised Facilities – Ground Based,"Land developed with specialised infrastructure for use by the navy, e.g. storage, maintenance and training. ",
775,Naval Specialised Facilities – Water Based,"Land developed with specialised infrastructure associated with the berthing of navy vessels, e.g. wharves, dry docks. ",
776,Air Force Base/Administration,Land developed and used for the administration of the Air forces.,
777,Airstrip and Specialised Facilities,"Land developed with specialised infrastructure associated with an airbase used by the Air Force, e.g. airfields, hangars, storage and maintenance.",
778,Munitions Storage Facility,"Land developed and used the defence forces for the storage of explosives, ammunition and bombs. ",
78,Other Community service facilities,,Changed from Community service facilities or other to Other Community service facilities
780,Public Conveniences,"Land developed and used as a public convenience, e.g. public toilet block. ",
781,"Unspecified – Public, Education and Health Improved",Land developed and used for the provision of education and health to the public by community service groups. ,
782,"Unspecified – Public, Education and Health vacant",Vacant land with a permit approved or capable of being developed for public education and health services.,
783,Animal shelter,Land developed and used as an animal welfare shelter by a community service group. May include keeping the animals on the premises for treatment or adoption,New AVPCC
,,,
Code,"Sport, Heritage and Culture",Description,Comment
80,Vacant Land ,,
800,Vacant Site – Sporting Use,Vacant land with a permit approved or capable of being developed for sporting use.,
801,Vacant Site – Heritage Application,"Vacant land designated and zoned for heritage purposes, e.g. historic precinct, heritage landscape. ",
802,Vacant Site – Cultural Use,Vacant land designated and zoned for cultural purposes.,
81,State/Regional Sports Complex,,Changed from State/Regional Sports Complex (Superior Facility) to State/Regional Sports Complex
810,Major Sports Complex,"Land developed with specialised infrastructure used as a major sporting facility for commercial purposes, e.g. MCG. ",Changed from Major Sports Facility (full commercial application) to Major Sports Facility
811,Major Indoor Sports Complex,"Land developed with specialised infrastructure used as an indoor sporting facility for commercial purposes, e.g. Rod Laver Arena. ","Changed from Indoor Sports Grounds/Complex (includes stadiums, arenas, velodromes etc. – usually state/regional centre with likely some commercial application) to Major Indoor Sports Facility "
812,Outdoor\Indoor Sports Complex - non major,"Land developed and used as a state or regional sports facility with limited commercial application, e.g.  Velodrome, Netball Hockey centre.","Changed from Outdoor Sports Grounds/Complex (includes stadiums, arenas, courts etc. – usually state/regional centre with likely some commercial application) to Outdoor Sports Complex "
813,Outdoor Sports – Extended Areas/Cross Country,"Land developed with specialist infrastructure over extended open areas used for recreational/sporting activities, e.g. member facility golf course, polo fields.",Changed from Outdoor Sports – Extended Areas/Cross Country (likely some commercial application) to Outdoor Sports – Extended Areas/Cross Country
814,Aquatic Complex,Land developed with specialised infrastructure used as an aquatic complex for water sports. ,Changed from Water Sports – Confined Areas (likely some commercial application) to Aquatic Complex
815,Water Sports – Outdoor,"Land developed with specialised infrastructure used for open air water sports, e.g. rowing. ",Changed from Water Sports – Open Areas (likely some commercial application) to Water Sports – Outdoor
816,Motor Racing Tracks/Speedways,Land developed with specialised infrastructure used for motor sports. ,Changed from Motor Racing Tracks/Speedways (likely some commercial application) to Motor Racing Tracks/Speedways 
817,Racecourse/Tracks,"Land developed with specialised infrastructure used for horse, greyhound, or harness racing, e.g. Flemington, Randwick. ","Changed from Racecourse/Tracks/Showground (sport involving animals, likely some commercial application) to Racecourse/Tracks"
818,Ski Fields,"Land developed with specialised infrastructure used as a ski area for commercial purposes. Includes a field, run, trail or course prepared for the purpose of alpine recreation. ",Changed from Ski Fields (likely some commercial application) to Ski Fields
82,Local Sporting Facilities,,
820,Indoor Sports Centre,Land developed and used as a local indoor recreational facility. ,"Changed from Indoor Sports Centre etc. (includes gymnasiums, stadiums/courts etc.) to Indoor Sports Centre"
820.1,Unspecified,,
820.2,Squash Courts,,
820.3,Gymnasium/Health Club,,
820.4,Indoor Sports Complex,,
820.5,Bowling Alley,,
821,Outdoor Sports Grounds town or suburban facilities,Land developed and used as a local outdoor recreation facility.,
821.1,Unspecified,,
821.2,Tennis Club,,
821.3,Bowling Club,,
821.4,Outdoor Park and Facilities,,
822,Outdoor Sports – Extended Areas/Cross Country,"Land developed with specialist infrastructure over extended open areas used for local recreational/sporting activities, e.g. municipal golf course.",
823,Swimming Pools/Aquatic Centres,"Land developed with specialised infrastructure used as a local aquatic complex for water sports, e.g. municipal swimming centre. ",Changed from Water Sports – Swimming Pools/Aquatic Centres to Swimming Pools/Aquatic Centres
824,Water Sports – Outdoor,"Land developed with specialised infrastructure used for local open air water sports, e.g. rowing.",Changed from Water Sports – Open Areas to Water Sports – Outdoor
825,Motor Race Tracks/Speedways,Land developed with specialised infrastructure used for local motor sports. ,
826,Aero Club Facility,Land used by aero clubs for flying pursuits. May include aircraft hangers.,New AVPCC
827,Ski Fields ,Land developed with limited infrastructure and used for recreational alpine pursuits. Limited commercial application.,
828,Equestrian Centre,Land developed with specialised infrastructure used for the grooming and showing of horses. ,
829,Bike Track/Walking Trails,Land designated as a bike track/walking trail.,
83,National/State Cultural Heritage Centres,,Changed from National/State/Regional Cultural Heritage Centres to National/State Cultural Heritage Centres
830,Library/Archives,Land developed and used as a library or archival facility with state or national significance. ,
831,Museum/Art Gallery,Land developed and used as a Museum/Art Gallery with state or national significance. ,
832,Cultural Heritage Centre,Land developed and used as a cultural heritage centre with state or national significance. ,
833,Wildlife Zoo,Land developed and used as zoological gardens with state or national significance. ,Changed from Wildlife Zoo/Aquarium to Wildlife Zoo
834,Aquarium,Land developed and used as an aquarium with state or national significance. ,
835,Botanical Gardens,Land developed and used as botanical gardens with state or national significance. ,
836,Monument/Memorial,"Land developed and used as a monument/memorial with state or national significance, e.g. Shrine of Remembrance.",
837,"Culture, recreation and sport","Land developed and used as a culture, recreation and sport centre with state or national significance.",
84,"Local Cultural Heritage Sites, Memorials and Monuments",,
840,Library/Archives,Land developed and used as a library or archival facility with local significance. ,
841,Museum/Art Gallery,Land developed and used as a Museum/Art Gallery with local significance. ,
842,Cultural Heritage Centre,Land developed and used as a cultural heritage centre with local significance. ,
843,Wildlife Zoo/Park/Aquarium,Land developed and used as a wildlife zoo/aquarium with local significance. ,
844,Parks and Gardens,Land developed and used as parks and gardens with local significance. ,
845,Monument/Memorial,Land developed and used as a monument/memorial with local significance. ,
85,Local Recreation - Other,,New Category
850,Bathing Boxes,Land developed on the foreshore and used as a bathing box for recreational purposes.,"New AVPCC formally 686 Boat Sheds, Bathing Boxes, Ramps and Jetties"
851,Boat Sheds,Land developed on the foreshore and used as a boat shed for recreational purposes.,"New AVPCC formally 686 Boat Sheds, Bathing Boxes, Ramps and Jetties"
,,,
Code,"National parks, conservation areas, forest reserves and natural water reserves",Description,Comment
90,Reserved Land,,
900,Vacant Land,Vacant land with special conservation values designated but not proclaimed as a reserve. ,Changed from Vacant Land (future reserve etc.) to Vacant Land
91,Nature Reserve,,
910,Nature Reserve,Land designated and proclaimed as a nature reserve. ,
92,Wilderness Area,,
920,World Heritage Area,Land designated and proclaimed as a world heritage area. Recognised internationally for its unique wilderness values. ,
921,Local Wilderness Area,Land designated and recognised as a local wilderness area. ,
93,National Park (Land and Marine),,
930,National Park – Land,Land designated and proclaimed as a national park.  ,
931,National Park – Marine,Land designated and proclaimed as a national marine park.  ,
94,Natural Monument/Feature,,
940,Natural Monument – Land,"Land recognised for its renowned features/scenic/natural/cultural values, e.g. Three Sisters.",
941,Natural Monument – Marine,"Land recognised for its marine features/scenic/cultural values, e.g. Twelve Apostles – Victoria. ",
95,Natural Forests and Forest Reserves,,
950,Forest Reserves – Public,"Public land reserved for the preservation or protection of aesthetic, scientific, flora or fauna values. ",
951,Forest Reserves – Private,"Private land reserved for the preservation or protection of aesthetic, scientific, flora or fauna values. ",
96,Conservation Area,,
960,Conservation Area – Public,Public land predominantly in a natural state designated as a conservation area.,
961,Conservation Area – Private,Private land predominantly in a natural state designated as a conservation area.,
97,Protected Landscape/Seascape,,
970,Protected Landscape – Public,Public land designated as a protected landscape recognised for its natural and cultural values.,
971,Protected Landscape – Private,Private land designated as a protected landscape recognised for its natural and cultural values.,
972,Protected Seascape – Public,Public land designated as a protected seascape recognised for its natural and cultural values.,
973,Protected Seascape – Private,Private land designated as a protected seascape recognised for its natural and cultural values.,Changed from Protected Landscape – Private to Protected Seascape – Private
98,Wetlands,,
980,River Reserve (fresh water),"Land designated as a freshwater river reserve, usually with all year round flows. ",
981,Creek Reserve (fresh water),Land designated as a fresh water creek reserve with intermittent flows and tides. ,
982,River Reserve (salt water),"Land designated as a salt water river reserve, usually with all year round flows. ",
983,Creek Reserve (salt water),Land designated as a salt water creek reserve with intermittent flows and tides. ,
984,Floodway Reserve,Land designated as a floodway reserve. ,
985,Fresh Water Lake Reserve,Land designated as a fresh water lake reserve that usually holds water all year round. ,
986,Salt Water Lake Reserve,Land designated as a salt water lake reserve and is not used for commercial salt extraction.  ,
987,Inland Low Lying Tidal Estuary Wetlands Reserve,Land designated as a wetlands reserve associated with enclosed bays/salt water river estuary.  ,
988,Seabed – Open Sea/Ocean/Bays,"Open sea below high water mark, not being a marine park. ",Changed from Seabed – Open Sea/Ocean/Bays (not included in the above) to Seabed – Open Sea/Ocean/Bays
99,Game/Fauna Reserves,,
990,Game Reserve – Public,Public land designated as a game reserve. Hunting of game may be permitted. ,
991,Game Reserve – Private,Private land designated as a game reserve. Hunting of game may be permitted. ,
,,,
Code,Non-active assessments and header records,Description,Comment
1,Cancelled/Historic/Non-Active Assessments,"Land not requiring an active assessment or record for rate, tax or levy purposes.",
10,Cancelled Assessment/Historic,,
11,Unspecified – Cancelled or Non-Active Assessment,,
12,Department of Housing transfer,,
13,Time Share,,
14,Nils and wills,,
15,Non Assessed Inappropriate subdivision/abandoned Land ,"Vacant lot/s or remnant land that cannot be legally used, occupied and developed due to the effect of any Act or planning control/s. Lot/s are usually subject to restructuring through planning mechanisms, or a buy back scheme.",New AVPCC
2,Mastercard/Header/Parent Assessment,An assessment created for apportionment purposes. Not subject to a valuation notice.,
20,Mastercard/Header/Parent Assessment – Residential,,
21,Mastercard/Header/Parent Assessment – Commercial,,
22,Mastercard/Header/Parent Assessment – Retail,,
23,Mastercard/Header/Parent Assessment – Industrial,,
24,Mastercard/Header/Parent Assessment – Rural,,
25,Mastercard/Header/Parent Assessment – Other,,